published_at,value,sensorid
2020-12-31 23:45:00,"0,4",81
2020-12-31 23:30:00,"0,5",81
2020-12-31 23:15:00,"0,4",81
2020-12-31 23:00:00,"0,4",81
2020-12-31 22:45:00,"0,5",81
2020-12-31 22:30:00,"0,4",81
2020-12-31 22:15:00,"0,4",81
2020-12-31 22:00:00,"0,5",81
2020-12-31 21:45:00,"0,4",81
2020-12-31 21:30:00,"0,4",81
2020-12-31 21:15:00,"0,5",81
2020-12-31 21:00:00,"0,5",81
2020-12-31 20:45:00,"0,4",81
2020-12-31 20:30:00,"0,5",81
2020-12-31 20:15:00,"0,4",81
2020-12-31 20:00:00,"0,4",81
2020-12-31 19:45:00,"0,4",81
2020-12-31 19:30:00,"0,5",81
2020-12-31 19:15:00,"0,4",81
2020-12-31 19:00:00,"0,4",81
2020-12-31 18:45:00,"0,4",81
2020-12-31 18:30:00,"0,4",81
2020-12-31 18:15:00,"0,5",81
2020-12-31 18:00:00,"0,4",81
2020-12-31 17:45:00,"0,4",81
2020-12-31 17:30:00,"0,4",81
2020-12-31 17:15:00,"0,496",81
2020-12-31 17:00:00,"0,383",81
2020-12-31 16:45:00,"0,459",81
2020-12-31 16:30:00,"0,422",81
2020-12-31 16:15:00,"0,192",81
2020-12-31 16:00:00,"0,175",81
2020-12-31 15:45:00,0,81
2020-12-31 15:30:00,"0,163",81
2020-12-31 15:15:00,0,81
2020-12-31 15:00:00,"0,024",81
2020-12-31 14:45:00,0,81
2020-12-31 14:30:00,0,81
2020-12-31 14:15:00,0,81
2020-12-31 14:00:00,0,81
2020-12-31 13:45:00,0,81
2020-12-31 13:30:00,0,81
2020-12-31 13:15:00,0,81
2020-12-31 13:00:00,0,81
2020-12-31 12:45:00,0,81
2020-12-31 12:30:00,0,81
2020-12-31 12:15:00,0,81
2020-12-31 12:00:00,0,81
2020-12-31 11:45:00,0,81
2020-12-31 11:30:00,0,81
2020-12-31 11:15:00,0,81
2020-12-31 11:00:00,0,81
2020-12-31 10:45:00,0,81
2020-12-31 10:30:00,0,81
2020-12-31 10:15:00,0,81
2020-12-31 10:00:00,0,81
2020-12-31 09:45:00,0,81
2020-12-31 09:30:00,0,81
2020-12-31 09:15:00,"0,173",81
